iter	Passed	Remaining
1498	7829	2616
1499	7831	2610
1500	7833	2604
1501	7835	2597
1502	7837	2591
1503	7839	2585
1504	7841	2578
1505	7843	2572
1506	7845	2566
1507	7847	2560
1508	7848	2553
1509	7850	2547
1510	7853	2541
1511	7854	2535
1512	7856	2528
1513	7858	2522
1514	7860	2516
1515	7862	2510
1516	7864	2504
1517	7867	2498
1518	7869	2491
1519	7871	2485
1520	7873	2479
1521	7875	2473
1522	7877	2467
1523	7879	2461
1524	7881	2454
1525	7883	2448
1526	7885	2442
1527	7887	2436
1528	7888	2430
1529	7890	2424
1530	7893	2417
1531	7894	2411
1532	7896	2405
1533	7898	2399
1534	7900	2393
1535	7902	2387
1536	7904	2381
1537	7906	2375
1538	7908	2368
1539	7910	2362
1540	7912	2356
1541	7914	2350
1542	7916	2344
1543	7918	2338
1544	7920	2332
1545	7922	2326
1546	7924	2320
1547	7926	2314
1548	7927	2308
1549	7930	2302
1550	7931	2296
1551	7933	2290
1552	7935	2284
1553	7937	2278
1554	7939	2272
1555	7941	2266
1556	7943	2260
1557	7944	2253
1558	7946	2247
1559	7948	2241
1560	7950	2235
1561	7952	2229
1562	7954	2223
1563	7956	2218
1564	7958	2212
1565	7960	2206
1566	7963	2200
1567	7965	2194
1568	7967	2188
1569	7968	2182
1570	7970	2176
1571	7972	2170
1572	7974	2164
1573	7976	2158
1574	7978	2152
1575	7980	2146
1576	7982	2141
1577	7983	2135
1578	7985	2129
1579	7987	2123
1580	7989	2117
1581	7991	2111
1582	7992	2105
1583	7994	2099
1584	7996	2093
1585	7998	2087
1586	8000	2082
1587	8002	2076
1588	8004	2070
1589	8006	2064
1590	8008	2058
1591	8010	2052
1592	8011	2046
1593	8013	2041
1594	8015	2035
1595	8017	2029
1596	8019	2023
1597	8021	2017
1598	8023	2012
1599	8025	2006
1600	8026	2000
1601	8028	1994
1602	8030	1988
1603	8032	1983
1604	8035	1977
1605	8037	1971
1606	8039	1966
1607	8041	1960
1608	8042	1954
1609	8045	1948
1610	8047	1943
1611	8048	1937
1612	8050	1931
1613	8052	1925
1614	8054	1920
1615	8056	1914
1616	8058	1908
1617	8061	1903
1618	8063	1897
1619	8065	1891
1620	8067	1886
1621	8069	1880
1622	8071	1874
1623	8073	1869
1624	8075	1863
1625	8077	1857
1626	8078	1852
1627	8080	1846
1628	8082	1840
1629	8084	1835
1630	8086	1829
1631	8089	1824
1632	8091	1818
1633	8093	1812
1634	8095	1807
1635	8097	1801
1636	8099	1796
1637	8101	1790
1638	8103	1784
1639	8105	1779
1640	8107	1773
1641	8109	1768
1642	8111	1762
1643	8113	1756
1644	8115	1751
1645	8117	1745
1646	8119	1740
1647	8122	1734
1648	8124	1729
1649	8126	1723
1650	8128	1718
1651	8131	1712
1652	8133	1707
1653	8135	1701
1654	8137	1696
